,0
2021-10-29,1.4945085070306143
2021-11-01,1.5090920055926325
2021-11-02,1.508408238658126
2021-11-04,1.5599966615687286
2021-11-08,1.5746652739715759
2021-11-09,1.550990049581809
2021-11-10,1.5350619322590031
2021-11-11,1.5416495289146825
2021-11-12,1.5374336309591436
2021-11-15,1.528882356856771
2021-11-16,1.5350260687184747
2021-11-17,1.5230410252277566
2021-11-18,1.5473549264296882
2021-11-22,1.5431229439188916
2021-11-24,1.5619580396874548
2021-11-26,1.510551401144339
2021-11-29,1.5464510646002314
2021-11-30,1.517646334174085
2021-12-01,1.4920785523032962
2021-12-02,1.5166401934417362
2021-12-03,1.4860729129044963
2021-12-06,1.495768614582079
2021-12-07,1.5431404860898303
2021-12-08,1.5436328397468553
2021-12-09,1.5205212447723204
2021-12-10,1.524622135363755
2021-12-13,1.4826725484929828
2021-12-14,1.4808166384210641
2021-12-15,1.5120518817362256
2021-12-16,1.4818310433190323
2021-12-17,1.4622619961477754
2021-12-20,1.4428916472451525
2021-12-21,1.4807990567477571
2021-12-22,1.5091421471301703
2021-12-23,1.5245781982215938
2021-12-29,1.540685884380448
2021-12-30,1.5308838330843768
2022-01-04,1.5716338432760943
2022-01-05,1.531243437662205
2022-01-06,1.5275274383262412
2022-01-07,1.5062361102616086
2022-01-11,1.5367175865513107
2022-01-12,1.5532727532128672
2022-01-13,1.5155354654929425
2022-01-14,1.5150825873352465
2022-01-18,1.4810295452499667
2022-01-19,1.4595088868848554
2022-01-20,1.4429031992309436
2022-01-21,1.4104073473655556
2022-01-24,1.4121290151635708
2022-01-25,1.4031311481285333
2022-01-27,1.3856306388362694
2022-01-28,1.4111930494899159
2022-02-07,1.4929737895478212
2022-02-08,1.5104802841123781
2022-02-09,1.5343853557855072
2022-02-10,1.5043853923906823
2022-02-14,1.4646856258076166
2022-02-15,1.5022574791490104
2022-02-16,1.50754356537995
2022-02-17,1.4600481981985463
2022-02-18,1.4409204018238335
2022-02-22,1.4253551131580087
2022-02-24,1.4145484135090436
2022-02-25,1.4518030616900208
2022-02-28,1.4679446420246003
2022-03-02,1.4684929526958863
2022-03-03,1.4541316461723839
2022-03-04,1.4481513871147604
2022-03-07,1.4068234588294581
2022-03-08,1.3954599790477713
2022-03-09,1.441261404153585
2022-03-10,1.4384305767630563
2022-03-11,1.409086195365547
2022-03-14,1.3973653573716522
2022-03-15,1.422358980794825
2022-03-16,1.4453306656051752
2022-03-17,1.4708315288877596
2022-03-22,1.5250824306175723
2022-03-23,1.5141816327611919
2022-03-24,1.54650647357416
2022-03-25,1.5516050554835423
2022-03-28,1.553864760153528
2022-03-29,1.5546427907533111
2022-03-30,1.5537277296133103
2022-03-31,1.5231207578984556
2022-04-01,1.5250628006772917
2022-04-06,1.5018603958148775
2022-04-07,1.5133928407241388
2022-04-08,1.508175028836186
2022-04-11,1.4772180063787372
2022-04-12,1.4724059211350091
2022-04-13,1.4834785430298687
2022-04-19,1.4981789702739692
2022-04-20,1.4981789702739692
2022-04-21,1.475262088157239
2022-04-22,1.4394252010754218
2022-04-25,1.4375998544576356
