,0
2021-05-12,1.087315069198418
2021-05-14,1.0895179969149584
2021-05-17,1.0966761103382605
2021-05-18,1.0979675425489057
2021-05-19,1.0900828258256774
2021-05-20,1.0897736521634291
2021-05-21,1.0925548424170533
2021-05-24,1.0987347190702088
2021-05-25,1.1011196926793654
2021-05-26,1.1018814842544542
2021-05-27,1.1042877768318062
2021-05-28,1.107250863987809
2021-06-01,1.1103794989667568
2021-06-02,1.1114416165946885
2021-06-03,1.1057128823703615
2021-06-04,1.1080304164709647
2021-06-07,1.1112137011735397
2021-06-08,1.111801618096406
2021-06-09,1.1104575612939815
2021-06-10,1.111387744343647
2021-06-11,1.114239201314669
2021-06-15,1.1107047815848818
2021-06-16,1.1092513162857083
2021-06-17,1.092606365155371
2021-06-18,1.08630630788682
2021-06-21,1.0886678909770706
2021-06-22,1.093113698185226
2021-06-23,1.0939616073705754
2021-06-24,1.0960860829526804
2021-06-25,1.0987598069254074
2021-06-28,1.0963883069783822
2021-06-29,1.0936666812706608
2021-06-30,1.0930882052444315
2021-07-01,1.094151595035547
2021-07-02,1.094783920781649
2021-07-06,1.0927182328615566
2021-07-07,1.0936440292332483
2021-07-08,1.0865456921558434
2021-07-09,1.0956462270773124
2021-07-12,1.0984709300690156
2021-07-13,1.0993392090251086
2021-07-14,1.0952358000855738
2021-07-15,1.0944995376876052
2021-07-16,1.0888862209156802
2021-07-19,1.0713364001311696
2021-07-20,1.0734541295183389
2021-07-26,1.0911514979022126
2021-07-27,1.0865477407967314
2021-07-28,1.0870911010792672
2021-07-29,1.0968038945760865
2021-07-30,1.0933777367527207
2021-08-02,1.0931344208793174
2021-08-03,1.094083789395702
2021-08-04,1.0924911853474397
2021-08-05,1.0934363099610127
2021-08-06,1.088634606805807
2021-08-10,1.084044698679002
2021-08-11,1.0879126450838006
2021-08-12,1.088044615218647
2021-08-13,1.0914176765444652
2021-08-16,1.0893718814532105
2021-08-17,1.0836368500816045
2021-08-18,1.0780250370929516
2021-08-20,1.0668270571247287
2021-08-23,1.0788066903713143
2021-08-24,1.0858493961065945
2021-08-25,1.0871202787179637
2021-08-26,1.084010815964514
2021-08-27,1.0896438177641208
2021-08-31,1.094069562471284
2021-09-01,1.0960454509996784
2021-09-02,1.0996301197636784
2021-09-03,1.104327133143569
2021-09-07,1.1047479174746706
2021-09-08,1.1004663110488873
2021-09-09,1.0991010605651619
2021-09-13,1.1042294017953036
2021-09-14,1.101507246565619
2021-09-15,1.1032609897644847
2021-09-16,1.0984482533976199
2021-09-17,1.091561047080312
2021-09-22,1.0927004567785594
2021-09-24,1.096104681238391
2021-09-27,1.0968646493932672
2021-09-28,1.0900821301689407
2021-09-29,1.0824483748855074
2021-09-30,1.0791034492591638
2021-10-08,1.0898558305206103
2021-10-11,1.0927506917717817
2021-10-12,1.0892257697661822
2021-10-13,1.096343655343891
2021-10-14,1.106868390105547
2021-10-18,1.110263176514707
2021-10-19,1.113933229063511
2021-10-20,1.1182195866913665
2021-10-21,1.112772292903352
2021-10-22,1.1146245359753815
2021-10-25,1.1162435355587508
2021-10-26,1.1177033495570632
2021-10-27,1.1126028112900608
2021-10-28,1.1123149248859368
2021-10-29,1.1130459517138585
2021-11-01,1.1170820426932846
2021-11-02,1.1151530325158259
2021-11-04,1.1134226446883002
2021-11-08,1.1192951069679047
2021-11-09,1.1202252518922196
2021-11-10,1.1168101047056291
2021-11-11,1.118728442965385
2021-11-12,1.120282934892856
2021-11-15,1.1197964596685923
2021-11-16,1.1170993266879434
2021-11-17,1.1120124799888553
2021-11-18,1.1120767106539977
2021-11-22,1.106399130099069
2021-11-24,1.1032976221389512
2021-11-26,1.0755273294478933
2021-11-29,1.0805810345753712
2021-11-30,1.071465094115642
2021-12-01,1.073578431052319
2021-12-02,1.075321973083707
2021-12-03,1.0742228640245055
2021-12-06,1.0775970711999567
2021-12-07,1.0875582202158864
2021-12-08,1.0918741692579084
2021-12-09,1.088456750986564
2021-12-10,1.087905311449145
2021-12-13,1.0871124964238679
2021-12-14,1.0810451108696368
2021-12-15,1.0783205738706296
2021-12-16,1.0897870405329209
2021-12-17,1.0843711784053773
2021-12-20,1.0734531438157502
2021-12-21,1.083581186572029
2021-12-22,1.0908253133832835
2021-12-23,1.096769631084202
2021-12-29,1.1006635108853693
2021-12-30,1.1019865432249538
2022-01-04,1.110284800925631
2022-01-05,1.1094628447647092
2022-01-06,1.0999510252554323
2022-01-07,1.1007561582186518
2022-01-11,1.1053000297892956
2022-01-12,1.1162217347214005
2022-01-13,1.1140147113095102
2022-01-14,1.1102060635213544
2022-01-18,1.1105238841413962
2022-01-19,1.1125072152573168
2022-01-20,1.1160885555792766
2022-01-21,1.1060171872652873
2022-01-24,1.0942571599322801
2022-01-25,1.0935293296896895
2022-01-27,1.0837329417639445
2022-01-28,1.0784940689965568
2022-02-07,1.0971130914023581
2022-02-08,1.0994235016142944
2022-02-09,1.1087640433947497
2022-02-10,1.1103748932622997
2022-02-14,1.0974138763150794
2022-02-15,1.1011229503830733
